open,close,date
289.93,289.93,2005-07-19
288.03,288.03,2005-07-18
287.9,287.9,2005-07-17
286.67,286.67,2005-07-14
286.35,286.35,2005-07-13
286.21,286.21,2005-07-12
285.04,285.04,2005-07-11
285.07,285.07,2005-07-10
284.29,284.29,2005-07-06
282.51,282.51,2005-07-05
281.26,281.26,2005-07-04
281.28,281.28,2005-07-03
281.15,281.15,2005-06-30
281.54,281.54,2005-06-29
281.06,281.06,2005-06-28
280.39,280.39,2005-06-27
280.82,280.82,2005-06-26
281.15,281.15,2005-06-22
280.84,280.84,2005-06-21
278.88,278.88,2005-06-20
277.87,277.87,2005-06-19
277.88,277.88,2005-06-16
277.83,277.83,2005-06-15
277.79,277.79,2005-06-14
278.75,278.75,2005-06-13
279.72,279.72,2005-06-12
280.08,280.08,2005-06-09
280.39,280.39,2005-06-08
280.99,280.99,2005-06-07
281.4,281.4,2005-06-06
281.61,281.61,2005-06-05
280.97,280.97,2005-06-02
280.15,280.15,2005-06-01
279.9,279.9,2005-05-31
279.09,279.09,2005-05-30
278.43,278.43,2005-05-29
276.35,276.35,2005-05-26
275.46,275.46,2005-05-25
276.85,276.85,2005-05-24
279.73,279.73,2005-05-22
280.43,280.43,2005-05-19
281.39,281.39,2005-05-18
283.12,283.12,2005-05-17
284.52,284.52,2005-05-16
285.52,285.52,2005-05-15
285.42,285.42,2005-05-12
285.33,285.33,2005-05-11
289.34,289.34,2005-05-10
288.79,288.79,2005-05-09
288.89,288.89,2005-05-05
298.78,298.78,2005-05-04
297.81,297.81,2005-05-03
296.11,296.11,2005-05-02
294.79,294.79,2005-05-01
294.29,294.29,2005-04-28
295.33,295.33,2005-04-27
294.44,294.44,2005-04-26
294.98,294.98,2005-04-25
294.03,294.03,2005-04-24
293.58,293.58,2005-04-21
292.59,292.59,2005-04-20
293.71,293.71,2005-04-19
293.71,293.71,2005-04-18
293.26,293.26,2005-04-13
291.83,291.83,2005-04-12
290.65,290.65,2005-04-11
291.09,291.09,2005-04-08
289.56,289.56,2005-04-07
286.51,286.51,2005-04-06
285.43,285.43,2005-04-05
285.51,285.51,2005-04-04
284.21,284.21,2005-04-01
284.34,284.34,2005-03-31
283.72,283.72,2005-03-30
281.08,281.08,2005-03-29
279.86,279.86,2005-03-28
278.86,278.86,2005-03-24
278.46,278.46,2005-03-23
277.1,277.1,2005-03-22
275.57,275.57,2005-03-21
274.35,274.35,2005-03-18
273.35,273.35,2005-03-17
274.67,274.67,2005-03-16
276.45,276.45,2005-03-15
278.5,278.5,2005-03-14
280.65,280.65,2005-03-11
283.43,283.43,2005-03-10
281.8,281.8,2005-03-09
279.49,279.49,2005-03-07
277.62,277.62,2005-03-04
273.57,273.57,2005-03-03
271.41,271.41,2005-03-02
268.42,268.42,2005-03-01
265.97,265.97,2005-02-28
265.53,265.53,2005-02-25
264.98,264.98,2005-02-24
264.39,264.39,2005-02-23
263.41,263.41,2005-02-22
263.72,263.72,2005-02-21
265.74,265.74,2005-02-17
267.14,267.14,2005-02-16
264.73,264.73,2005-02-15
259.05,259.05,2005-02-14
257.29,257.29,2005-02-11
253.94,253.94,2005-02-10
251.88,251.88,2005-02-09
251.68,251.68,2005-02-08
251.02,251.02,2005-02-07
250.76,250.76,2005-02-04
248.03,248.03,2005-02-03
246.94,246.94,2005-02-02
247.25,247.25,2005-02-01
247.41,247.41,2005-01-31
246.98,246.98,2005-01-28
247.17,247.17,2005-01-27
246.85,246.85,2005-01-26
245.25,245.25,2005-01-25
243.76,243.76,2005-01-24
242.11,242.11,2005-01-21
240.72,240.72,2005-01-20
240.34,240.34,2005-01-19
240.01,240.01,2005-01-18
239.89,239.89,2005-01-17
239.94,239.94,2005-01-14
239.61,239.61,2005-01-13
237.68,237.68,2005-01-12
236.04,236.04,2005-01-10
235.61,235.61,2005-01-07
235.16,235.16,2005-01-06
234.93,234.93,2005-01-05
235.68,235.68,2005-01-04
238.32,238.32,2005-01-03
238.29,238.29,2004-12-31
238.32,238.32,2004-12-30
238.3,238.3,2004-12-29
239.41,239.41,2004-12-28
239.24,239.24,2004-12-27
238.81,238.81,2004-12-24
238.17,238.17,2004-12-23
238.2,238.2,2004-12-22
238.47,238.47,2004-12-21
237.99,237.99,2004-12-20
237.53,237.53,2004-12-17
237.03,237.03,2004-12-16
236.38,236.38,2004-12-15
236.75,236.75,2004-12-14
236.95,236.95,2004-12-13
236.71,236.71,2004-12-10
236.52,236.52,2004-12-09
235.63,235.63,2004-12-08
238.1,238.1,2004-12-07
237.68,237.68,2004-12-06
237.62,237.62,2004-12-03
237.97,237.97,2004-12-02
237.41,237.41,2004-12-01
238.92,238.92,2004-11-30
241.04,241.04,2004-11-29
241.6,241.6,2004-11-26
241.57,241.57,2004-11-25
241.27,241.27,2004-11-24
240.4,240.4,2004-11-23
239.2,239.2,2004-11-22
238.01,238.01,2004-11-19
237.24,237.24,2004-11-18
236.13,236.13,2004-11-17
235.37,235.37,2004-11-16
235.08,235.08,2004-11-15
234.77,234.77,2004-11-11
233.83,233.83,2004-11-10
232.35,232.35,2004-11-09
232.41,232.41,2004-11-05
232.76,232.76,2004-11-04
233.6,233.6,2004-11-03
233.54,233.54,2004-11-02
232.88,232.88,2004-11-01
232.44,232.44,2004-10-29
232.13,232.13,2004-10-28
232.06,232.06,2004-10-27
232,232,2004-10-26
232.36,232.36,2004-10-19
231.81,231.81,2004-10-18
231.31,231.31,2004-10-14
232.29,232.29,2004-10-13
232.37,232.37,2004-10-12
233.73,233.73,2004-10-11
233.81,233.81,2004-10-08
233.92,233.92,2004-10-07
234.14,234.14,2004-10-06
234,234,2004-10-05
234.09,234.09,2004-10-04
233.99,233.99,2004-10-01
234.11,234.11,2004-09-30
233.64,233.64,2004-09-29
233.05,233.05,2004-09-28
233.42,233.42,2004-09-24
233.46,233.46,2004-09-23
234.12,234.12,2004-09-22
235.45,235.45,2004-09-21
236.83,236.83,2004-09-20
237.22,237.22,2004-09-17
234.58,234.58,2004-09-16
230.72,230.72,2004-09-15
229.99,229.99,2004-09-14
230.9,230.9,2004-09-13
231.29,231.29,2004-09-10
231.78,231.78,2004-09-09
234.07,234.07,2004-09-08
235.61,235.61,2004-09-07
237.43,237.43,2004-08-31
237.81,237.81,2004-08-27
237.01,237.01,2004-08-26
235.81,235.81,2004-08-25
234.02,234.02,2004-08-24
236.27,236.27,2004-08-23
237.43,237.43,2004-08-20
239.1,239.1,2004-08-19
241.22,241.22,2004-08-18
241.63,241.63,2004-08-17
241.51,241.51,2004-08-16
239.55,239.55,2004-08-13
236.76,236.76,2004-08-12
235.7,235.7,2004-08-11
233.46,233.46,2004-08-10
232.53,232.53,2004-08-09
232.39,232.39,2004-08-06
231.13,231.13,2004-08-05
230.2,230.2,2004-08-04
228.77,228.77,2004-08-03
227.3,227.3,2004-08-02
226.72,226.72,2004-07-30
225.52,225.52,2004-07-29
224.91,224.91,2004-07-28
224.63,224.63,2004-07-27
224.09,224.09,2004-07-23
223.42,223.42,2004-07-22
224.42,224.42,2004-07-21
224.41,224.41,2004-07-20
223.45,223.45,2004-07-19
222.65,222.65,2004-07-16
222.04,222.04,2004-07-15
226.61,226.61,2004-07-14
226.42,226.42,2004-07-13
226.16,226.16,2004-07-12
226.3,226.3,2004-07-09
226.88,226.88,2004-07-08
227.83,227.83,2004-07-06
225.15,225.15,2004-07-05
220.75,220.75,2004-07-02
219.41,219.41,2004-07-01
218.65,218.65,2004-06-30
217.72,217.72,2004-06-29
217.41,217.41,2004-06-28
217.46,217.46,2004-06-25
216.51,216.51,2004-06-24
215.1,215.1,2004-06-23
213.25,213.25,2004-06-22
211.51,211.51,2004-06-21
211.45,211.45,2004-06-16
211.31,211.31,2004-06-15
213.12,213.12,2004-06-14
216.42,216.42,2004-06-11
216.75,216.75,2004-06-10
214.27,214.27,2004-06-09
211.75,211.75,2004-06-08
210.46,210.46,2004-06-07
209.49,209.49,2004-06-04
209.14,209.14,2004-06-03
208.53,208.53,2004-06-02
205.25,205.25,2004-06-01
207.41,207.41,2004-05-31
204.04,204.04,2004-05-28
206.9,206.9,2004-05-27
206.25,206.25,2004-05-26
206.12,206.12,2004-05-25
205.58,205.58,2004-05-24
205.13,205.13,2004-05-21
205.29,205.29,2004-05-20
205.02,205.02,2004-05-19
205.1,205.1,2004-05-18
204.8,204.8,2004-05-17
204.41,204.41,2004-05-14
204.35,204.35,2004-05-13
202.1,202.1,2004-05-12
201.54,201.54,2004-05-11
201.49,201.49,2004-05-10
201.27,201.27,2004-05-07
201.12,201.12,2004-05-06
201,201,2004-05-05
205.07,205.07,2004-05-03
205.22,205.22,2004-04-30
205.26,205.26,2004-04-29
204.55,204.55,2004-04-28
204.6,204.6,2004-04-27
204.38,204.38,2004-04-26
204.06,204.06,2004-04-23
203.76,203.76,2004-04-22
203.16,203.16,2004-04-21
203.05,203.05,2004-04-20
202.72,202.72,2004-04-19
202.45,202.45,2004-04-16
202.1,202.1,2004-04-15
202.94,202.94,2004-04-14
201.22,201.22,2004-04-12
199.53,199.53,2004-04-09
199.41,199.41,2004-04-08
198.87,198.87,2004-04-07
197.32,197.32,2004-04-06
196.14,196.14,2004-04-05
195.17,195.17,2004-04-02
195.14,195.14,2004-04-01
196.34,196.34,2004-03-31
195.88,195.88,2004-03-29
196.25,196.25,2004-03-26
195.61,195.61,2004-03-25
203.93,203.93,2004-03-24
208.38,208.38,2004-03-23
208,208,2004-03-22
207.07,207.07,2004-03-19
207.85,207.85,2004-03-18
208.16,208.16,2004-03-17
207.88,207.88,2004-03-16
207.85,207.85,2004-03-15
207.8,207.8,2004-03-12
207.73,207.73,2004-03-11
208.07,208.07,2004-03-10
208.26,208.26,2004-03-09
208.09,208.09,2004-03-08
208.41,208.41,2004-03-05
208.76,208.76,2004-03-04
208.82,208.82,2004-03-03
208.75,208.75,2004-03-02
208.68,208.68,2004-03-01
208.87,208.87,2004-02-27
209.15,209.15,2004-02-26
210.04,210.04,2004-02-25
210.45,210.45,2004-02-23
210.56,210.56,2004-02-20
210.6,210.6,2004-02-17
210.69,210.69,2004-02-16
210.54,210.54,2004-02-13
211.31,211.31,2004-02-12
211.17,211.17,2004-02-11
211.07,211.07,2004-02-10
211.18,211.18,2004-02-09
211.48,211.48,2004-02-06
211.28,211.28,2004-02-05
211.43,211.43,2004-02-04
211.35,211.35,2004-02-03
211.11,211.11,2004-02-02
211.39,211.39,2004-01-29
211.47,211.47,2004-01-28
211.77,211.77,2004-01-27
212.96,212.96,2004-01-26
212.23,212.23,2004-01-23
210.13,210.13,2004-01-22
207.89,207.89,2004-01-21
207.8,207.8,2004-01-20
206.02,206.02,2004-01-19
204.41,204.41,2004-01-16
202.65,202.65,2004-01-15
201.95,201.95,2004-01-14
202.19,202.19,2004-01-13
201.34,201.34,2004-01-12
200.84,200.84,2004-01-09
201.46,201.46,2004-01-08
201.51,201.51,2004-01-07
201.82,201.82,2004-01-06
201.51,201.51,2004-01-05
201.52,201.52,2004-01-02
201.88,201.88,2004-01-01
201.57,201.57,2003-12-31
201.23,201.23,2003-12-30
202.23,202.23,2003-12-27
201.65,201.65,2003-12-26
201.52,201.52,2003-12-25
201.22,201.22,2003-12-24
201.29,201.29,2003-12-23
201.51,201.51,2003-12-22
201.54,201.54,2003-12-19
201.56,201.56,2003-12-18
201.5,201.5,2003-12-17
201.88,201.88,2003-12-16
201.94,201.94,2003-12-15
202.47,202.47,2003-12-12
206.42,206.42,2003-12-11
206.35,206.35,2003-12-10
206.4,206.4,2003-12-09
206.28,206.28,2003-12-08
204.09,204.09,2003-12-05
205.18,205.18,2003-12-04
205.36,205.36,2003-12-03
204.96,204.96,2003-12-02
205.03,205.03,2003-12-01
205.66,205.66,2003-11-28
206.76,206.76,2003-11-27
207.13,207.13,2003-11-26
207.01,207.01,2003-11-25
205.83,205.83,2003-11-24
206,206,2003-11-21
206.4,206.4,2003-11-20
206.72,206.72,2003-11-19
206.45,206.45,2003-11-18
206.33,206.33,2003-11-17
206.21,206.21,2003-11-14
206.67,206.67,2003-11-13
207.23,207.23,2003-11-12
207.15,207.15,2003-11-11
207.04,207.04,2003-11-10
